Num_Three_Star_Reviews,Physical_address,Updated,Review_number,Rating_value,Description,Downloads,Num_Four_Star_Reviews,Num_Two_Star_Reviews,Num_One_Star_Reviews,Content_rating,Version,Num_Five_Star_Reviews,Price,Compatibility,Developer_badge,Genre,Reviews,Link,Author_link,Video_URL,Developer_ID,IAP,Item_name,Filesize,Author
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,https://www.google.com/url?q=https://www.kabam.com/&sa=D&usg=AFQjCNGZ2dZOqbfJcEMWGJnGr3Wb1G0FLA,https://www.youtube.com/embed/VC_ncFCLkhM?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
"9,818","795 Folsom Street
Suite 600
San Francisco, CA 94107","December 1, 2017","236,980",4.6,,"  10,000,000 - 50,000,000  ","34,416","2,851","9,073",Everyone 10+, 4.1.1  ,"180,822",, 4.1.1  ,Editors' Choice,Action,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,"https://www.google.com/url?q=http://www.transformersforgedtofight.com&sa=D&usg=AFQjCNFzghqCawVShlANlz0TJLAVTbPTbQ,mailto:contact@kabam.com,https://www.google.com/url?q=https://www.kabam.com/corporate/privacy-policy&sa=D&usg=AFQjCNHsHfglVeadFilbDIFDrDR1Yyd2Nw",https://www.youtube.com/embed/oS4eJtrSEI0?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,/store/apps/dev?id=9199344989204994692,Offers in-app purchases,TRANSFORMERS: Forged to Fight,,Kabam
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
"239,998","Unit 1309A, 13/F, Cable TV Tower, No. 9 Hoi Shing Road, Tsuen Wan, N.T., Hong Kong","December 4, 2017","7,583,142",4.7,,"  100,000,000 - 500,000,000  ","653,849","92,504","230,056",Everyone,,"6,366,735",,,Editors' Choice,Arcade,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,"https://www.google.com/url?q=http://www.cmcm.com/&sa=D&usg=AFQjCNGJKcNpfRrN5Aq7vMQphSD7CQGozg,mailto:pianotiles@cmcm.com,https://www.google.com/url?q=http://www.cmcm.com/protocol/site/privacy.html&sa=D&usg=AFQjCNEapMFkkxDWMCLD_jX8zfM3e1Fhiw",https://www.youtube.com/embed/TTryAI7CI88?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,/store/apps/developer?id=Cheetah+Games,Offers in-app purchases,Piano Tiles 2™,,Cheetah Games
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
"56,478","Lockwood Publishing Ltd
Antenna Media Centre
Beck Street
Nottingham
NG1 1EQ
United Kingdom","December 5, 2017","889,107",4.3,,"  10,000,000 - 50,000,000  ","88,023","25,265","86,374",Teen, 1.017.02  ,"632,967",, 1.017.02  ,,Role Playing,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,"https://www.google.com/url?q=http://www.avakin.com/&sa=D&usg=AFQjCNH96RmjV9DPxis_qPQFYY7nKC4nqA,mailto:support@avakin.com,https://www.google.com/url?q=http://www.avakin.com/terms-of-service/%23PP&sa=D&usg=AFQjCNHj2Z-4IGddqR9N2KtBy90BUxZBcg",https://www.youtube.com/embed/My7MBDXcndU?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,/store/apps/dev?id=6367016382542689978,Offers in-app purchases,Avakin Life - 3D virtual world,,Lockwood Publishing Ltd
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
"93,573","28th Oktovriou, 232, Oceanic Building, office 501, 3035 Limassol, Cyprus","November 24, 2017","2,360,603",4.6,,"  10,000,000 - 50,000,000  ","292,640","32,532","101,962",Everyone 10+, 3.4.1  ,"1,839,896",, 3.4.1  ,Editors' Choice,Action,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,"https://www.google.com/url?q=http://pixonic.com&sa=D&usg=AFQjCNEjRVsvXmhTTdcMHVQzyAWW_2T5xA,mailto:wwr_support@pixonic.com,https://www.google.com/url?q=http://common.pixonic.com/apps/privacy_policy.html&sa=D&usg=AFQjCNH3Quj-IXLTPw-0nQFvQxFk2VnRsw",https://www.youtube.com/embed/UNoyduTZLyI?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,/store/apps/developer?id=PIXONIC,Offers in-app purchases,War Robots,,PIXONIC
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,https://www.google.com/url?q=http://lockwoodpublishing.com/&sa=D&usg=AFQjCNHQV9HkuCQlis6bFN1ucUKBFHCOJA,https://www.youtube.com/embed/My7MBDXcndU?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,https://www.google.com/url?q=http://www.digital-legends.com&sa=D&usg=AFQjCNFRGpXR1bmq2zfBMX1rSWR3NMr_kw,,,,,,
"41,964","King.com Limited
Aragon Business Centre, Level 4, Dragonara Road, St Julians STJ3140, Malta","December 5, 2017","1,440,684",4.7,,"  10,000,000 - 50,000,000  ","266,672","5,354","10,461",Everyone, 4.1.2  ,"1,116,233",, 4.1.2  ,Editors' Choice,Puzzle,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,"https://www.google.com/url?q=http://bubblewitch3saga.com&sa=D&usg=AFQjCNEFueh4ZQBVqHyopkaMIMgaMZq8lw,mailto:bubblewitch3.techhelp@king.com,https://www.google.com/url?q=http://about.king.com/consumer-terms/terms/en%23privacy&sa=D&usg=AFQjCNGiMQEOqiOZ_q9OthwFGvbHvhd6gg",https://www.youtube.com/embed/-iMomF0Xefo?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,/store/apps/dev?id=6577204690045492686,Offers in-app purchases,Bubble Witch 3 Saga,,King
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,https://www.google.com/url?q=https://www.ubisoft.com&sa=D&usg=AFQjCNFzyF0-eIqFdvNRFs_7RffMdNZ5kQ,https://www.youtube.com/embed/ptuOPCt2qHc?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,,,,,
"302,310","UBISOFT MOBILE GAMES
38-42 rue Cuvier
93100 Montreuil Sous Bois
FRANCE","December 5, 2017","5,595,162",4.5,,"  100,000,000 - 500,000,000  ","671,651","136,133","299,566",Teen, 5.4.0  ,"4,185,502",, 5.4.0  ,Editors' Choice,Arcade,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,"https://www.google.com/url?q=https://www.ubisoft.com/en-gb/game/hungry-shark-evolution/&sa=D&usg=AFQjCNECPlFjZ56V5bDX2EY0VmBLIuT2Sw,mailto:support@fgol.co.uk,https://www.google.com/url?q=http://r-mob.ubi.com/?a%3DPrivacyPolicyUS&sa=D&usg=AFQjCNG0eawha49HA0sC0tt-qcBUNHwXwQ",https://www.youtube.com/embed/gGNTlzMa6mM?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,/store/apps/dev?id=4647998716943242763,Offers in-app purchases,Hungry Shark Evolution,,Ubisoft Entertainment
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,,,,,,,
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,https://www.google.com/url?q=http://www.supercell.com&sa=D&usg=AFQjCNEg3VnImYLBS4Bu91fl_n-9CndaSQ,,,,,,
"315,859","Itamerenkatu 11-13
00180 Helsinki
Finland","October 16, 2017","5,363,748",4.5,,"  50,000,000 - 100,000,000  ","886,756","115,381","246,677",Everyone 10+, 32.87  ,"3,799,075",, 32.87  ,,Strategy,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,"https://www.google.com/url?q=http://supercell.helpshift.com/a/boom-beach/?p%3Dandroid&sa=D&usg=AFQjCNGku-GfoOMLeH01X4WkmVlQDg_JpA,mailto:gp-info@supercell.com,https://www.google.com/url?q=http://www.supercell.net/privacy-policy&sa=D&usg=AFQjCNEAjZj4x83934HEpW6kYWlTeWHmgg",https://www.youtube.com/embed/5SrmzELUpYo?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,/store/apps/dev?id=6715068722362591614,Offers in-app purchases,Boom Beach,,Supercell
,,,,,,,,,,,,,,,,,,//www.gstatic.com/android/market_images/web/favicon_v2.ico,https://www.google.com/url?q=http://www.flaregames.com&sa=D&usg=AFQjCNEBD19wvinaS4yQa-8uLUfwnC7Elw,,,,,,
